batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,codeExecutionSummary,cheat,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim,leaveFullScreenTimes
1,formal_easy_ransom_notes_with,60cf3ea49731e4fed5ce742e,easy_ransom_notes,0.1,1,0.1,1,1,,0.9444444444444444,0.9444444444444444,,,
1,formal_easy_ransom_notes_with,60ddcd80bbeb3c7f8958f6bf,easy_ransom_notes,0.1,0.1,0.1,0,0,,0.782608695652174,1,,,
1,formal_easy_ransom_notes_with,6452a0c8687cf626aa4dc721,easy_ransom_notes,0,0.1,0,0,0,,0.2857142857142857,0.1111111111111111,,,
1,formal_easy_ransom_notes_with,657b106d15f391f12c30ee8d,easy_ransom_notes,0,1,0,0,1,,0.9444444444444444,0.9444444444444444,,,
1,formal_easy_ransom_notes_with,659ecd99cbaea58e46b35186,easy_ransom_notes,1,1,0.1,0,1,,1,1,,,
2,formal_easy_ransom_notes_with,5e91128ddf10df4440f6243f,easy_ransom_notes,0,1,0.1,0,1,,1,1,,,
2,formal_easy_ransom_notes_with,60ce3a64dc89ad902dcd3e02,easy_ransom_notes,0.1,1,0,0,1,,1,1,,,
2,formal_easy_ransom_notes_with,60db8f99cfcb1b050dbc66b5,easy_ransom_notes,1,1,0.1,1,1,,1,1,,,
2,formal_easy_ransom_notes_with,610425405cd96682f2d3ff07,easy_ransom_notes,1,1,0.1,0,1,,1,1,,,
2,formal_easy_ransom_notes_with,65b011d3c75e0c8536526b93,easy_ransom_notes,0,1,0,1,1,,0.5,0.5,,,
1,formal_easy_ransom_notes_without,5bf5893f3a426e00019e42bc,easy_ransom_notes,0.1,0,0,0,0,,1,1,,,
1,formal_easy_ransom_notes_without,60ec51c51a3158a50ded8a3e,easy_ransom_notes,1,1,0,0,1,,0.3888888888888889,0.3888888888888889,,,
1,formal_easy_ransom_notes_without,6171312b4f75ea6a71c23125,easy_ransom_notes,0.1,1,0,0,1,,1,1,,,
1,formal_easy_ransom_notes_without,62e94c384f809b7d0831f4ea,easy_ransom_notes,0.1,1,0,0,1,,0.4,0.3333333333333333,,,
1,formal_easy_ransom_notes_without,65895cc810c582df1d708a65,easy_ransom_notes,1,1,0,0,1,,0.9444444444444444,0.9444444444444444,,,
