Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6644c556e40f96c138564933,63f8705ae362b217290d08c2,APPROVED,Not Applicable,2024-05-15T14:23:24.932000Z,2024-05-15T14:34:07.681000Z,2024-05-16T01:40:52.533000Z,2024-05-15T14:34:08.635409Z,643.0,C8MRP57T,369,Yes,"C and C++, CSS, Javascript, HTML, Matlab, Python, R, SQL",English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6644c59bfccdce73c9635dac,614b7c6143772286a208caea,APPROVED,Not Applicable,2024-05-15T14:24:27.128000Z,2024-05-15T14:50:53.313000Z,2024-05-16T01:40:52.947000Z,2024-05-15T14:53:18.700417Z,1587.0,C8MRP57T,135,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, SQL, TypeScript",English,27,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Part-Time
6644c5bd5c548b71f8a9571b,60f9b7d785b3e37efe2c21d3,APPROVED,Not Applicable,2024-05-15T14:25:01.923000Z,2024-05-15T14:46:17.304000Z,2024-05-16T01:40:53.192000Z,2024-05-15T14:46:17.862599Z,1276.0,C8MRP57T,291,Yes,"C and C++, Javascript, HTML, Matlab, Ruby, SQL","English, Other",30,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644c5e00a501ade9dd190cb,65583ffa38bfc41805a553cd,APPROVED,Not Applicable,2024-05-15T14:27:20.666000Z,2024-05-15T14:52:31.144000Z,2024-05-16T01:40:53.450000Z,2024-05-15T14:54:03.151739Z,1511.0,C8MRP57T,8,Yes,"Java, C and C++, Go, Javascript, Python, PHP, HTML","English, Other",23,Male,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time
6644c8e698b7e4fe6297d32b,653fc00d3035a31db0314c28,APPROVED,Not Applicable,2024-05-15T14:38:34.238000Z,2024-05-15T15:00:39.388000Z,2024-05-16T01:40:53.708000Z,2024-05-15T15:00:39.858773Z,1326.0,C8MRP57T,102,Yes,"Javascript, HTML, TypeScript, CSS, SQL",English,37,Female,White,Azerbaijan,Netherlands,Azerbaijan,Other,No,Full-Time
6644d3a3053188386212c500,6497e970e2621e753513a695,APPROVED,Not Applicable,2024-05-15T15:25:28.199000Z,2024-05-15T15:51:02.316000Z,2024-05-16T01:40:53.966000Z,2024-05-15T15:51:41.846797Z,1535.0,C8MRP57T,243,Yes,"Python, SQL, Javascript, Java",English,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644d964c401ce330963e563,65d935f75fde30418cc7dad4,APPROVED,Not Applicable,2024-05-15T15:48:58.618000Z,2024-05-15T15:54:59.517000Z,2024-05-16T01:40:54.222000Z,2024-05-15T15:55:00.486560Z,361.0,C8MRP57T,240,Yes,"Ruby, Javascript",English,23,Female,White,Peru,United States,Peru,Spanish,Yes,Part-Time
6644c595922649bc4fa4a285,60f6db0889f6a75afba3ff5b,RETURNED,Not Applicable,2024-05-15T14:24:49.455000Z,,,,,,125,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c598ad06312450a9411b,65ae855348b0074871b566ea,RETURNED,Not Applicable,2024-05-15T14:24:36.079000Z,,,,,,72,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c5f3925f32cfa950d361,611044a2eb8abb0a83e9ddb4,RETURNED,Not Applicable,2024-05-15T14:26:12.856000Z,,,,,,116,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c92b38b07b2b6aaa4237,6159d36b31fe01e003282538,RETURNED,Not Applicable,2024-05-15T14:40:15.719000Z,,,,,,292,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644ca43075401970aca4338,64e905e3eea5a5ce019a1f88,TIMED-OUT,Not Applicable,2024-05-15T14:47:37.137000Z,,,,175179.0,,178,Yes,Javascript,English,24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644ca61053188386212c2d4,608d9d9ff4a38e374ba1acad,REJECTED,Not Applicable,2024-05-15T14:44:52.815000Z,2024-05-15T14:49:58.206000Z,2024-05-15T15:24:01.030000Z,2024-05-15T14:49:59.569000Z,306.0,NOCODE,195,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644d893452c119eee8e4fa3,65d2157313d9c8026aa915c7,RETURNED,Not Applicable,2024-05-15T15:55:23.801000Z,,,,,,145,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644d8a6a70e4dd011fb7d1e,611cf0fcb571ffef2625d948,RETURNED,Not Applicable,2024-05-15T15:46:03.871000Z,,,,,,730,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
