Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6637f026d2907ed00a9a1a4d,65a54520efb432c2831d10d6,APPROVED,Not Applicable,2024-05-05T20:46:43.146000Z,2024-05-05T21:14:12.658000Z,2024-05-14T09:29:18.240000Z,2024-05-05T21:16:51.817084Z,1650.0,C8MRP57T,1,Yes,Javascript,English,26,Female,Black,Lesotho,South Africa,Lesotho,English,No,Unemployed (and job seeking)
6637f055451a5cd260b29873,629625e303590ce5fcbcc825,APPROVED,Not Applicable,2024-05-05T20:50:36.293000Z,2024-05-05T21:12:48.659000Z,2024-05-14T09:29:18.594000Z,2024-05-05T21:12:49.216215Z,1333.0,C8MRP57T,155,Yes,"HTML, Javascript, CSS",English,44,Female,White,Canada,United Kingdom,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6637f12bee9fb87aed2823ca,65abd7494c8491a1bb90411a,APPROVED,Not Applicable,2024-05-05T20:50:51.531000Z,2024-05-05T21:13:26.866000Z,2024-05-14T09:29:18.778000Z,2024-05-05T21:13:28.267279Z,1356.0,C8MRP57T,127,Yes,"Javascript, Python, R, SQL, C and C++",English,43,Female,Black,Nigeria,Canada,Canada,English,No,Part-Time
6637f13f44bcdcef522aa3fa,5c093a3f600aff0001d7002c,APPROVED,Not Applicable,2024-05-05T20:51:22.876000Z,2024-05-05T21:07:58.727000Z,2024-05-14T09:29:19.004000Z,2024-05-05T21:11:43.708666Z,996.0,C8MRP57T,1191,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, SQL",English,45,Male,Asian,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED
663bd3bb3bb1df6feb1c0b74,65c64b9b090c48be1380151a,APPROVED,Not Applicable,2024-05-08T19:34:39.622000Z,2024-05-08T19:56:33.614000Z,2024-05-14T09:29:19.186000Z,2024-05-08T19:56:57.930651Z,1314.0,C8MRP57T,59,Yes,"Javascript, HTML, CSS",English,28,Female,Black,Nigeria,Portugal,Nigeria,English,No,Unemployed (and job seeking)
663bd3c0afed842f4b0121d9,6114ba817968537bd89ef3c6,APPROVED,Not Applicable,2024-05-08T19:34:24.550000Z,2024-05-08T19:49:49.456000Z,2024-05-14T09:29:19.397000Z,2024-05-08T19:49:49.999126Z,925.0,C8MRP57T,495,Yes,"HTML, Javascript","English, German",20,Male,White,Austria,Austria,Germany,German,Yes,Part-Time
663bd3c77625c200de2af9b2,612520bd6605794b27e6a0fd,APPROVED,Not Applicable,2024-05-08T19:34:35.787000Z,2024-05-08T19:57:17.548000Z,2024-05-14T09:29:19.580000Z,2024-05-08T19:57:18.204202Z,1362.0,C8MRP57T,959,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, Python, SQL, TypeScript, Ruby, Swift","English, Portuguese",37,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
663bd3ccd4952863dd397e03,661747a10840d7553533cda1,APPROVED,Not Applicable,2024-05-08T19:39:17.190000Z,2024-05-08T19:49:07.660000Z,2024-05-14T09:29:19.761000Z,2024-05-08T19:49:08.164437Z,591.0,C8MRP57T,33,Yes,"C and C++, CSS, Javascript, HTML, Python, SQL",English,21,Male,Asian,Canada,Canada,Canada,English,Yes,Part-Time
663bd63e04383a5213e5b0f6,6577b990de34621ce896bc7d,APPROVED,Not Applicable,2024-05-08T19:45:35.624000Z,2024-05-08T20:09:48.905000Z,2024-05-14T09:29:19.946000Z,2024-05-08T20:09:50.594309Z,1454.0,C8MRP57T,9,Yes,"Javascript, HTML, PHP, SQL, TypeScript, C and C++, CSS","English, French, Arabic",25,Male,White,Algeria,France,Algeria,English,Yes,Other
66430f2d33fbaaace9fa03b5,60ef2e52a188d9859f92bb58,APPROVED,Not Applicable,2024-05-14T07:13:56.916000Z,2024-05-14T07:39:47.676000Z,2024-05-14T09:29:20.131000Z,2024-05-14T07:39:48.349718Z,1551.0,C8MRP57T,366,Yes,"HTML, Javascript",English,28,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
