Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6637efd29c755fdf10a66d2c,661747a10840d7553533cda1,APPROVED,Not Applicable,2024-05-05T20:45:26.407000Z,2024-05-05T21:00:23.429000Z,2024-05-14T09:40:22.779000Z,2024-05-05T21:00:32.436093Z,898.0,C8MRP57T,29,Yes,"C and C++, CSS, Javascript, HTML, Python, SQL",English,21,Male,Asian,Canada,Canada,Canada,English,Yes,Part-Time
6637f14ae09086adcc9324e1,5c3872541736360001471ca0,APPROVED,Not Applicable,2024-05-05T20:51:27.705000Z,2024-05-05T21:00:53.283000Z,2024-05-14T09:40:23.112000Z,2024-05-05T21:00:53.892744Z,566.0,C8MRP57T,540,Yes,"Java, Javascript, HTML, PHP, CSS, C and C++, C#, SQL, Python","Italian, English",27,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
6637f186afea312ada282401,65b11897c8192342e57e9787,RETURNED,Not Applicable,2024-05-05T20:52:32.932000Z,,,2024-05-14T16:43:54.606151Z,,,122,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6637f1a9eba3279ca443ba1f,60be6b60d4a12f2ce4c806f2,APPROVED,Not Applicable,2024-05-05T20:52:57.637000Z,2024-05-05T21:07:42.240000Z,2024-05-14T09:40:23.340000Z,2024-05-06T10:37:37.182652Z,885.0,C8MRP57T,512,Yes,"CSS, C and C++, Javascript, HTML","Spanish, English",26,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
6637f1dc515dbd079fea689d,663670132ef9384a03dc44d2,RETURNED,Not Applicable,2024-05-05T20:54:21.480000Z,,,2024-05-14T16:43:54.634896Z,,,7,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6637f21c21cf3df45e722d4c,66269e82eb93d0ae74c5d344,APPROVED,Not Applicable,2024-05-05T20:55:09.060000Z,2024-05-05T21:10:01.174000Z,2024-05-14T09:40:23.564000Z,2024-05-05T21:11:50.216809Z,893.0,C8MRP57T,10,Yes,"Python, Javascript, C and C++","French, English",19,Male,White,France,France,Algeria,French,Yes,Other
6637f2b2aaf33a0295047bfa,65f5e7c01c411d371249f76f,RETURNED,Not Applicable,2024-05-05T20:57:28.868000Z,,,2024-05-14T16:43:54.621480Z,,,81,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6637f300535084b4861d4734,60f6dc139e58d2688fc34fee,RETURNED,Not Applicable,2024-05-05T20:59:17.846000Z,,,2024-05-14T16:43:54.649881Z,,,268,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6637f50cc6a7172baa637c9a,65bff2b433274138661c174a,REJECTED,Not Applicable,2024-05-05T21:07:24.576000Z,2024-05-05T21:14:53.227000Z,2024-05-14T16:31:02.424000Z,2024-05-14T16:43:54.630207Z,449.0,C8MRP57T,54,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663bd3fa168e42c2252caa7e,5fe223488fd71dd5e57e4c2e,RETURNED,Not Applicable,2024-05-08T19:35:22.583000Z,,,2024-05-14T16:43:54.651856Z,,,371,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663bd3fd8a2df774396dc828,5cabf58293e29a0016018c30,APPROVED,Not Applicable,2024-05-08T19:35:25.971000Z,2024-05-08T20:08:11.764000Z,2024-05-14T09:40:23.757000Z,2024-05-08T20:08:12.551802Z,1966.0,C8MRP57T,994,Yes,"C and C++, Javascript","English, Russian, Spanish",36,Male,White,Russian Federation,Spain,Spain,Russian,No,Full-Time
663bd4008ba8335795082925,6558c7f10f613d860aab3125,APPROVED,Not Applicable,2024-05-08T19:35:28.129000Z,2024-05-08T20:17:51.109000Z,2024-05-14T09:40:23.981000Z,2024-05-08T20:17:51.839366Z,2543.0,C8MRP57T,68,Yes,"HTML, Javascript, Java, CSS, Python",English,31,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time
663bd402cd9edbdfb014d5cb,6016bbe3a28c6014fd3236b8,APPROVED,Not Applicable,2024-05-08T19:35:40.950000Z,2024-05-08T19:54:25.777000Z,2024-05-14T09:40:24.237000Z,2024-05-08T19:56:06.937180Z,1125.0,C8MRP57T,568,Yes,"C and C++, Go, Javascript, CSS, HTML, Python, SQL, TypeScript","Afrikaans, English",25,Male,Mixed,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
663bd402f8fe20332a75cdc1,650a05d42ac1a544fe1b9937,RETURNED,Not Applicable,2024-05-08T19:35:30.161000Z,,,2024-05-14T16:43:54.687079Z,,,93,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663bd437211777a5ffc633ed,566f7754b937e400122ce30a,RETURNED,Not Applicable,2024-05-08T19:36:23.352000Z,,,2024-05-14T16:43:54.683614Z,,,1027,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663bd4ee2d58f8087f6a6136,661acbeb8224ad7f96c4d11c,RETURNED,Not Applicable,2024-05-08T19:41:14.082000Z,,,2024-05-14T16:43:54.703005Z,,,20,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663bd5bee492369b8a38696a,661ab3f1726772ace6c6a6cb,REJECTED,Not Applicable,2024-05-08T19:43:01.309000Z,2024-05-08T20:12:48.856000Z,2024-05-14T01:22:17.735000Z,2024-05-14T16:43:54.735774Z,1788.0,C8MRP57T,17,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
663bd6c19912a69838ec5718,611d1b663a5c2ab412850a1c,APPROVED,Not Applicable,2024-05-08T19:47:50.752000Z,2024-05-08T20:06:09.928000Z,2024-05-14T09:40:24.444000Z,2024-05-08T20:06:10.534839Z,1100.0,C8MRP57T,246,Yes,"Javascript, Java, TypeScript, Swift",English,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
66430c125d33b064c835d52d,616ae04c674bd9a88c6ebed0,APPROVED,Not Applicable,2024-05-14T07:00:40.987000Z,2024-05-14T07:48:54.146000Z,2024-05-14T09:40:24.723000Z,2024-05-14T07:48:55.073566Z,2894.0,C8MRP57T,155,Yes,"Java, Javascript, HTML, Kotlin, PHP, Python","English, French, Spanish",45,Male,Black,Zambia,South Africa,South Africa,English,No,Full-Time
664392825a2aafe59bfd4036,5c3d5129a9bfb4000168e299,APPROVED,Not Applicable,2024-05-14T16:34:25.610000Z,2024-05-14T16:53:56.744000Z,2024-05-14T17:00:33.441000Z,2024-05-14T16:53:58.731211Z,1172.0,C8MRP57T,302,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, Python, SQL, TypeScript",English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
