Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6637f3e87c4fcec16ca4693e,661f84bf573acf3a4825c023,APPROVED,Not Applicable,2024-05-05T21:02:56.979000Z,2024-05-05T21:33:41.995000Z,2024-05-14T09:44:28.093000Z,2024-05-05T21:36:03.233705Z,1846.0,C8MRP57T,35,Yes,"SQL, Python, Matlab, Javascript, Java, C and C++, CSS",English,31,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6637f4cdfefe3659e3b82b7c,612610d67c8362f227b74c44,APPROVED,Not Applicable,2024-05-05T21:06:25.065000Z,2024-05-05T21:23:52.178000Z,2024-05-14T09:44:28.337000Z,2024-05-05T21:25:59.709482Z,1048.0,C8MRP57T,267,Yes,"C#, CSS, Java, Javascript, HTML, PHP, Python, SQL, TypeScript","Portuguese, English",27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6637f5e758077e6061b632e2,6159e83b6407a6d5345d3b99,APPROVED,Not Applicable,2024-05-05T21:11:03.144000Z,2024-05-05T21:32:57.190000Z,2024-05-14T09:44:28.578000Z,2024-05-05T21:32:57.719021Z,1315.0,C8MRP57T,118,Yes,"Java, Javascript, HTML, TypeScript","English, Other",26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6637fa79d86773a9acac55fd,5dfb75507caa1e89ad5df828,APPROVED,Not Applicable,2024-05-05T21:30:33.213000Z,2024-05-05T21:37:50.702000Z,2024-05-14T09:44:28.772000Z,2024-05-05T21:37:51.519884Z,438.0,C8MRP57T,935,Yes,"C and C++, C#, CSS, Javascript, HTML, Matlab, PHP, Python, SQL, Java","English, Portuguese, Spanish",28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
663bd435d2d3c911fffd100f,65a96f2c5e9b2019bd4dc2bc,APPROVED,Not Applicable,2024-05-08T19:36:21.781000Z,2024-05-08T19:58:40.131000Z,2024-05-14T09:44:29.028000Z,2024-05-08T19:58:40.747740Z,1339.0,C8MRP57T,86,Yes,"Java, Javascript, HTML, Python, SQL","French, English",34,Male,White,France,France,France,French,No,Full-Time
663bd4902b715e5c787b4d7c,66027ecb57ff798269b84a2a,APPROVED,Not Applicable,2024-05-08T19:38:35.878000Z,2024-05-08T19:51:44.342000Z,2024-05-14T09:44:29.243000Z,2024-05-08T19:51:44.897269Z,789.0,C8MRP57T,47,Yes,"C#, C and C++, CSS, Go, Java, Javascript, HTML, Kotlin, PHP, Matlab, R, Python, Ruby, Scala, SQL, Swift, TypeScript","Arabic, French, English",25,Male,Other,Lebanon,Italy,Lebanon,Arabic,Yes,Other
663bd50dca33e76081219bae,60cdfc43f84c4e243fb375d8,APPROVED,Not Applicable,2024-05-08T19:40:20.248000Z,2024-05-08T19:55:47.199000Z,2024-05-14T09:44:29.527000Z,2024-05-08T19:56:39.781600Z,927.0,C8MRP57T,213,Yes,"Javascript, HTML, CSS, TypeScript","Hungarian, English",43,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
663bd60170bc8860eb845b05,652598cfa67d3941c6e6c31c,APPROVED,Not Applicable,2024-05-08T19:44:01.177000Z,2024-05-08T20:12:55.665000Z,2024-05-14T09:44:29.840000Z,2024-05-08T20:15:04.374961Z,1735.0,C8MRP57T,310,Yes,"Javascript, Python, HTML, Java, CSS","English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
66430cfca51fc9086cd08a49,613024a95f48b6ceaeee8ad5,APPROVED,Not Applicable,2024-05-14T07:04:41.989000Z,2024-05-14T07:32:45.085000Z,2024-05-14T09:44:30.113000Z,2024-05-14T07:32:45.850210Z,1684.0,C8MRP57T,105,Yes,"Java, HTML, CSS, Javascript",English,24,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
664333c0f87f4a958685aa3a,5fbaf990efe4a5bcf223f9d7,APPROVED,Not Applicable,2024-05-14T09:56:34.604000Z,2024-05-14T10:36:22.082000Z,2024-05-14T16:33:51.222000Z,2024-05-14T10:36:22.978301Z,2388.0,C8MRP57T,206,Yes,"Javascript, HTML, CSS, TypeScript",English,29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
