Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6644d58645801fc7b8eeb324,5f4e76eff69af505fa21da55,APPROVED,Not Applicable,2024-05-15T15:32:22.630000Z,2024-05-15T15:46:23.349000Z,2024-05-16T02:25:21.374000Z,2024-05-15T15:46:23.871205Z,841.0,C8MRP57T,859,Yes,"C and C++, CSS, Javascript, HTML, Python, PHP, Matlab, SQL","English, Polish",26,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6644d58f16bb483a9477ec68,5f01bf065d902430eb9e209b,APPROVED,Not Applicable,2024-05-15T15:32:31.796000Z,2024-05-15T15:52:46.851000Z,2024-05-16T02:25:21.700000Z,2024-05-15T15:52:47.399824Z,1216.0,C8MRP57T,302,Yes,"HTML, Javascript, Python, SQL, PHP, CSS",English,33,Male,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
6644d633476f63e51df03784,65e1d1b7409fb89918f53743,APPROVED,Not Applicable,2024-05-15T15:35:55.601000Z,2024-05-15T15:59:10.711000Z,2024-05-16T02:25:21.905000Z,2024-05-15T16:01:25.512461Z,1396.0,C8MRP57T,15,Yes,"C#, C and C++, Java, Javascript, HTML, Matlab, Python, R, SQL","Portuguese, French, English",23,Male,White,Brazil,France,Brazil,Portuguese,Yes,Unemployed (and job seeking)
6644d68a255ccaccdc33c8f0,611189712a6223bedf8c162d,APPROVED,Not Applicable,2024-05-15T15:36:51.013000Z,2024-05-15T15:55:49.417000Z,2024-05-16T02:25:22.092000Z,2024-05-15T15:55:49.933178Z,1139.0,C8MRP57T,137,Yes,"Java, Matlab, R, Python, Javascript","Dutch, English",26,Female,Mixed,Netherlands,Austria,Netherlands,Dutch,Yes,Full-Time
6644d69a4e53d9118c4cd984,60be29be5264e6ed7ff6126b,APPROVED,Not Applicable,2024-05-15T15:37:07.791000Z,2024-05-15T15:51:16.163000Z,2024-05-16T02:25:22.279000Z,2024-05-15T15:51:44.122716Z,849.0,C8MRP57T,979,Yes,"C and C++, Java, Javascript, HTML, Python, SQL, Matlab, PHP","German, English",33,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6644d8138261e7d3a1473131,60eda88bc2e1c7fdc04c0971,APPROVED,Not Applicable,2024-05-15T15:43:25.214000Z,2024-05-15T15:52:31.210000Z,2024-05-16T02:25:22.501000Z,2024-05-15T15:52:31.819493Z,546.0,C8MRP57T,191,Yes,"C#, CSS, Javascript, HTML, Python, SQL",English,24,Male,Other,South Africa,South Africa,South Africa,English,No,Full-Time
6645737cc046592e93bf740d,64df6fe64eaf93c4d294eb12,APPROVED,Not Applicable,2024-05-16T02:46:34.780000Z,2024-05-16T03:01:45.326000Z,2024-05-16T15:11:48.665000Z,2024-05-16T03:01:46.427104Z,911.0,C8MRP57T,17,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, SQL",English,26,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644d5a87eba5f1783923ae8,5e6f91fe74ff43011dd127ec,RETURNED,Not Applicable,2024-05-15T15:32:56.154000Z,,,,,,190,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644d5dad5c7910e43e915da,614b23f447bd48a3801fbf95,RETURNED,Not Applicable,2024-05-15T15:33:53.515000Z,,,,,,385,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644d65e2f08738fbf4495c0,660fce4af89c50e6159730c4,RETURNED,Not Applicable,2024-05-15T15:36:16.551000Z,,,,,,14,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644d6a473b982f039c57d77,615a10906193d263fd02c670,REJECTED,Not Applicable,2024-05-15T15:37:34.431000Z,2024-05-15T15:54:48.819000Z,2024-05-16T02:24:36.191000Z,2024-05-15T15:54:49.403000Z,1035.0,C8MRP57T,269,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
