Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6644dbc62f7ceafbc582d685,5f172fe7c89bde065a7e120e,APPROVED,Not Applicable,2024-05-15T15:59:09.395000Z,2024-05-15T16:08:55.239000Z,2024-05-16T02:34:37.230000Z,2024-05-15T16:08:55.799529Z,586.0,C8MRP57T,683,Yes,"C and C++, Java, Javascript, HTML, PHP, SQL",English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6644dbca1c80a7625051c531,64d23e803ee1da9a01e52faa,APPROVED,Not Applicable,2024-05-15T15:59:15.937000Z,2024-05-15T16:19:34.285000Z,2024-05-16T02:34:37.647000Z,2024-05-15T16:19:47.301650Z,1219.0,C8MRP57T,160,Yes,"C#, Javascript, HTML, SQL, TypeScript","English, Other",25,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6644de5e4848ec3c10cb7abd,660b3f976ed1ba06a3ff15f7,APPROVED,Not Applicable,2024-05-15T16:10:43.576000Z,2024-05-15T16:33:48.287000Z,2024-05-16T02:34:37.932000Z,2024-05-15T16:33:48.892483Z,1385.0,C8MRP57T,44,Yes,"Java, C and C++, Javascript, HTML, Python, Swift","English, Spanish",24,Male,White,Chile,Chile,Chile,Spanish,Yes,Full-Time
6644eddd2e3000a1d9645be4,61378d6b7827f7a08486eb84,APPROVED,Not Applicable,2024-05-15T17:16:13.090000Z,2024-05-15T17:41:14.021000Z,2024-05-16T02:34:38.239000Z,2024-05-15T17:41:15.231615Z,1501.0,C8MRP57T,641,Yes,"Java, HTML, Javascript","Spanish, English",26,Male,Mixed,Chile,Chile,Chile,Spanish,Yes,Full-Time
6645737de2bdc9ec8b32e334,6169a9e467cae08f6a6d3698,APPROVED,Not Applicable,2024-05-16T02:46:33.114000Z,2024-05-16T02:58:27.052000Z,2024-05-16T15:14:37.240000Z,2024-05-16T02:58:31.184693Z,714.0,C8MRP57T,249,Yes,"Javascript, HTML, Python",English,46,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,Full-Time
664579e700f522cd6b488fcf,6474ce47e76e9b169b175cee,APPROVED,Not Applicable,2024-05-16T03:13:51.032000Z,2024-05-16T03:38:01.062000Z,2024-05-16T15:14:37.536000Z,2024-05-16T03:38:12.070701Z,1451.0,C8MRP57T,54,Yes,"CSS, Javascript, HTML",English,21,Female,Mixed,Australia,New Zealand,Australia,English,Yes,Other
6644d8b6e853ca3d3700ff13,612553b19191648882438db1,AWAITING REVIEW,Not Applicable,2024-05-15T15:46:06.896000Z,2024-05-15T15:50:38.371000Z,,2024-05-15T15:51:37.660000Z,272.0,NOCODE,258,Yes,"Java, HTML, Javascript, CSS, SQL, TypeScript",English,30,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
6644d9379268376a724f7d06,611eeafa283a2d1f57537fea,RETURNED,Not Applicable,2024-05-15T15:48:25.510000Z,,,,,,303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644db71a70e4dd011fb7dbb,60b298b8bfe7c7f61852bc9a,REJECTED,Not Applicable,2024-05-15T15:58:03.853000Z,2024-05-15T16:17:02.089000Z,2024-05-16T02:32:39.822000Z,2024-05-15T16:17:17.071000Z,1139.0,C8MRP57T,281,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644db79b4ac27aea3051678,60e1881713b96a69a520642f,REJECTED,Not Applicable,2024-05-15T15:58:38.014000Z,2024-05-15T16:01:43.276000Z,2024-05-16T02:31:07.697000Z,2024-05-15T16:02:04.233000Z,186.0,NOCODE,66,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
