Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
661a8bc73be6bad54c2668c2,5a60a51863394a0001552447,APPROVED,Not Applicable,2024-04-13T13:42:34.717000Z,2024-04-13T14:01:16.851000Z,2024-05-04T00:00:53.829000Z,2024-04-13T14:01:42.981690Z,1123.0,C8MRP57T,376,Yes,"C and C++, CSS, Java, Javascript, HTML, SQL, TypeScript",27,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,
661a8cbb8b9fcf83a0335e00,5e1f86090cc973000b7b8ee9,APPROVED,Not Applicable,2024-04-13T13:46:42.793000Z,2024-04-13T14:18:06.411000Z,2024-05-04T00:00:54.156000Z,2024-04-13T14:18:07.689707Z,1884.0,C8MRP57T,757,Yes,"Java, Javascript, HTML, PHP, Python, R, SQL, TypeScript, C#",33,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time,
661a8dbe3be6bad54c26695d,65fb4091fe89197d0e19987c,APPROVED,Not Applicable,2024-04-13T13:50:54.501000Z,2024-04-13T14:01:02.004000Z,2024-05-04T00:00:54.491000Z,2024-04-13T14:01:29.195712Z,608.0,C8MRP57T,3,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, R, SQL, TypeScript, PHP",21,Male,White,Morocco,France,Morocco,Arabic,Yes,Part-Time,
661a9fd3ac3cddf50c353323,607728dc0b4f8590b94ae57c,APPROVED,Not Applicable,2024-04-13T15:11:33.156000Z,2024-04-13T15:28:07.504000Z,2024-05-04T00:00:54.838000Z,2024-04-13T15:28:08.362783Z,995.0,C8MRP57T,1080,Yes,"Javascript, HTML, CSS, Python, SQL, TypeScript",32,Male,White,Chile,Chile,Chile,Spanish,No,Full-Time,
661abcd655d4026c7795af3e,65cf6d8a589a67afcab54e6f,APPROVED,Not Applicable,2024-04-13T17:13:22.555000Z,2024-04-13T17:27:18.883000Z,2024-05-04T00:00:55.162000Z,2024-04-13T17:27:19.574181Z,837.0,C8MRP57T,82,Yes,"Javascript, HTML, PHP, SQL, TypeScript",34,Male,White,Greece,Greece,Greece,Greek,No,Part-Time,
661a8cc9bc138c5e9f025530,615aceb06ae03ef88ac6fd1d,RETURNED,Not Applicable,2024-04-13T13:56:49.052000Z,,,,,,236,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8cd1ac3cddf50c352d9a,610c856d71732bc31431e84c,RETURNED,Not Applicable,2024-04-13T13:47:07.654000Z,,,,,,297,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8cf6966934a75e1c628b,5e9f8700fde38a12e671c256,RETURNED,Not Applicable,2024-04-13T13:47:41.081000Z,,,,,,158,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8d1a8b9fcf83a0335e21,65a84c9f13cfa0f95af903d6,RETURNED,Not Applicable,2024-04-13T13:58:10.171000Z,,,,,,42,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8de23be6bad54c266967,61088f5351df7edad3fa8c5f,REJECTED,Not Applicable,2024-04-13T13:51:36.816000Z,2024-04-13T14:17:40.564000Z,2024-04-13T16:22:46.183000Z,2024-04-13T14:17:41.449000Z,1564.0,61088f5351df7edad3fa8c5f,256,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a96074e491538b51c6a9c,606b84e11527ce2103add0a5,RETURNED,Not Applicable,2024-04-13T14:26:15.245000Z,,,,,,703,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661ab26bbcd4eb92e59a302c,5f92f97ed0f407056dfd3268,RETURNED,Not Applicable,2024-04-13T16:27:23.951000Z,,,,,,1088,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661ab4027e82144aec043d9f,65414690ff22af1e0e59a54d,RETURNED,Not Applicable,2024-04-13T16:35:49.173000Z,,,,,,125,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
