Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6644e44210e6183ce0368521,60f661fe836a747fd2158499,APPROVED,Not Applicable,2024-05-15T16:35:23.544000Z,2024-05-15T16:44:45.268000Z,2024-05-16T14:11:41.932000Z,2024-05-15T16:46:04.083448Z,562.0,C8MRP57T,79,Yes,"Java, Javascript, HTML, TypeScript, Swift","English, Other, Afrikaans",29,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644e45fb3d0e7ed4d28a5cc,5f68e47097de38085d5f2284,APPROVED,Not Applicable,2024-05-15T16:35:56.669000Z,2024-05-15T16:57:24.912000Z,2024-05-16T14:11:42.344000Z,2024-05-15T16:59:16.400349Z,1289.0,C8MRP57T,117,Yes,"CSS, Javascript, Python, TypeScript, HTML",English,23,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
6644e5b6d46e28ec596d1614,61085eb72ce70a498366f602,APPROVED,Not Applicable,2024-05-15T16:44:39.974000Z,2024-05-15T17:01:42.199000Z,2024-05-16T14:11:42.854000Z,2024-05-15T17:01:42.810607Z,1023.0,C8MRP57T,297,Yes,"C#, CSS, Java, Javascript, HTML, PHP, Python, SQL, C and C++","Portuguese, English",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6644e6204fb85a2d36b991dc,614929e5dc437220dafb260c,APPROVED,Not Applicable,2024-05-15T16:43:33.119000Z,2024-05-15T17:05:40.576000Z,2024-05-16T14:11:43.350000Z,2024-05-15T17:05:41.197481Z,1328.0,C8MRP57T,298,Yes,"Javascript, HTML, CSS, Python, SQL",English,21,Female,Black,South Africa,South Africa,United Kingdom,English,Yes,Full-Time
6644e81ec0f80f852e93a00a,603ec9304e3f3200d7ed2ead,APPROVED,Not Applicable,2024-05-15T16:51:56.110000Z,2024-05-15T17:14:06.940000Z,2024-05-16T14:11:43.755000Z,2024-05-15T17:14:07.524853Z,1331.0,C8MRP57T,205,Yes,"Java, Javascript, CSS, HTML, Python, SQL",English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6644e85ef933dcdd705daa81,6583290296d9a7dea982e013,APPROVED,Not Applicable,2024-05-15T16:52:56.523000Z,2024-05-15T17:08:29.676000Z,2024-05-16T14:11:44.310000Z,2024-05-15T17:10:50.302623Z,934.0,C8MRP57T,189,Yes,"C and C++, CSS, Javascript, HTML, Python, SQL, TypeScript",English,34,Male,DATA_EXPIRED,Ghana,United Kingdom,Ghana,English,Yes,DATA_EXPIRED
664616ac82d3e852d433d3b0,6642106ff3874868f38a27a3,AWAITING REVIEW,Not Applicable,2024-05-16T14:22:57.506000Z,2024-05-16T14:32:39.121000Z,,2024-05-16T14:32:40.274890Z,582.0,C8MRP57T,0,Yes,"HTML, Javascript, Java",English,51,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Due to start a new job within the next month
664616bf09bfe9f5f86de723,63c7bb2ae745777e97741ee4,APPROVED,Not Applicable,2024-05-16T14:24:13.662000Z,2024-05-16T14:38:22.492000Z,2024-05-16T15:22:28.883000Z,2024-05-16T14:39:26.391053Z,849.0,C8MRP57T,496,Yes,"C#, CSS, Javascript, HTML",English,19,Female,White,Australia,Australia,Australia,English,Yes,Unemployed (and job seeking)
664618d409bfe9f5f86de7c3,66436119c5bd6f409bdbc664,AWAITING REVIEW,Not Applicable,2024-05-16T14:32:13.634000Z,2024-05-16T14:58:55.180000Z,,2024-05-16T14:58:56.216158Z,1602.0,C8MRP57T,0,Yes,"Javascript, TypeScript",English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644e1c06ebf15a6d74da3cc,60de3d32aeb7f2a8b4bba07d,TIMED-OUT,Not Applicable,2024-05-15T16:24:46.014000Z,,,,169242.0,,233,Yes,"Javascript, Java",English,36,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644e2b3d2289ae448c04412,614831813dc412ccc8e2f563,RETURNED,Not Applicable,2024-05-15T16:28:35.666000Z,,,,,,406,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e2c38ee812e118c4afb0,65e735ad455e7cbd5efcc286,REJECTED,Not Applicable,2024-05-15T16:29:15.656000Z,2024-05-15T16:54:27.667000Z,2024-05-16T14:06:56.011000Z,2024-05-15T16:54:28.355000Z,1513.0,C8MRP57T,46,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e3a5510a9d371d36d4c3,610c3dca3aa9f75d7057307d,RETURNED,Not Applicable,2024-05-15T16:42:37.165000Z,,,,,,515,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e4e781ee8656470dec08,6167d795d6dd1c505c4e248b,REJECTED,Not Applicable,2024-05-15T16:38:42.979000Z,2024-05-15T16:53:44.426000Z,2024-05-16T14:09:07.432000Z,2024-05-15T16:53:45.606000Z,902.0,C8MRP57T,287,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e640eef2f1b95e4f1be4,5d629f1d15bb0e00015e4d94,RETURNED,Not Applicable,2024-05-15T16:45:41.198000Z,,,,,,242,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e699f953be6c5b77575d,5bad60642259980001c84ccf,RETURNED,Not Applicable,2024-05-15T16:45:13.927000Z,,,,,,1152,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e7673933749348fad219,61254c5a6facc8ed023a64de,RETURNED,Not Applicable,2024-05-15T16:48:47.110000Z,,,,,,742,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e7886ff235b757eb2496,5c87d68fe5bc060001ee8498,RETURNED,Not Applicable,2024-05-15T16:59:12.717000Z,,,,,,824,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644f12a4302b55aca22a161,6616cb2e70225899688b7f69,RETURNED,Not Applicable,2024-05-15T17:30:29.700000Z,,,,,,13,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644f30ebeee508877a4f502,5f467b8d74eeef0365ffb26e,RETURNED,Not Applicable,2024-05-15T17:38:22.212000Z,,,,,,168,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644f4fcc0f80f852e93a351,5cee69353057030001b33fc4,RETURNED,Not Applicable,2024-05-15T17:56:36.571000Z,,,,,,744,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
