Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6644df6829f458719642f65f,650eff6cc0027471d6e1cc27,APPROVED,Not Applicable,2024-05-15T16:14:32.013000Z,2024-05-15T16:27:15.193000Z,2024-05-16T14:22:31.320000Z,2024-05-15T16:30:15.467404Z,764.0,C8MRP57T,23,Yes,"C and C++, C#, Java, Javascript, HTML, Matlab, Python",English,22,Male,White,Portugal,Portugal,Portugal,Spanish,Yes,Other
6644e18dff6c902e814661d1,60ae750dbba4a1822e957e68,APPROVED,Not Applicable,2024-05-15T16:23:47.337000Z,2024-05-15T16:47:53.608000Z,2024-05-16T14:22:31.735000Z,2024-05-15T16:47:54.231757Z,1447.0,C8MRP57T,1015,Yes,"C and C++, C#, Javascript, HTML, PHP","French, English, Indonesian",39,Male,White,France,United Kingdom,France,French,No,DATA_EXPIRED
6644e1e11a9461741b7d6c02,65945a3e74706f9f6590e930,APPROVED,Not Applicable,2024-05-15T16:25:33.071000Z,2024-05-15T16:49:36.838000Z,2024-05-16T14:22:31.999000Z,2024-05-15T16:49:37.405552Z,1444.0,C8MRP57T,26,Yes,"Javascript, HTML, Python, R, Ruby, SQL, Swift, TypeScript, Go, C#, CSS",English,54,Male,White,United Kingdom,Canada,United Kingdom,English,No,Full-Time
6644e22224258195d716208a,65bc0b7d67c3b127986fe002,APPROVED,Not Applicable,2024-05-15T16:26:20.450000Z,2024-05-15T16:43:26.852000Z,2024-05-16T14:22:32.275000Z,2024-05-15T16:44:00.079094Z,1027.0,CN05E64M,36,Yes,"Javascript, TypeScript","English, Other",30,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6644e35dae51c8cefec39b62,6168e39eeeb42428028ff420,APPROVED,Not Applicable,2024-05-15T16:38:29.680000Z,2024-05-15T16:58:17.076000Z,2024-05-16T14:22:32.536000Z,2024-05-15T16:59:31.344391Z,1188.0,C8MRP57T,132,Yes,"C#, Javascript, HTML, CSS, Python, PHP","English, Afrikaans",22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
6644e41b8bd1ccd73e8dee0b,652fe4cc35636f316a5fd01d,APPROVED,Not Applicable,2024-05-15T16:34:44.139000Z,2024-05-15T16:45:21.787000Z,2024-05-16T14:22:32.805000Z,2024-05-15T16:46:14.748527Z,638.0,C8MRP57T,21,Yes,"C#, C and C++, Javascript, Java, HTML, Swift, TypeScript",English,22,Female,Mixed,Australia,Australia,Fiji,English,Yes,DATA_EXPIRED
6644e43eb5a37628258a651b,60f882dc7ca7b1a971cd2742,APPROVED,Not Applicable,2024-05-15T16:37:36.059000Z,2024-05-15T16:55:44.640000Z,2024-05-16T14:22:33.085000Z,2024-05-15T16:55:45.346568Z,1089.0,C8MRP57T,49,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, R, SQL",English,30,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6644e5db6f5cff92c469a11b,663b6d84a0d3ecfe9217c822,APPROVED,Not Applicable,2024-05-15T16:43:24.969000Z,2024-05-15T16:59:23.106000Z,2024-05-16T14:22:33.400000Z,2024-05-15T16:59:58.637631Z,959.0,C8MRP57T,6,Yes,"C and C++, Java, Javascript, HTML, CSS, Python, TypeScript","English, Swedish",29,Male,Mixed,Sweden,Sweden,Sweden,Swedish,No,Full-Time
6644df07e3511646610583ed,660166ed3b98f975c241051b,RETURNED,Not Applicable,2024-05-15T16:13:05.351000Z,,,,,,5,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644e42a3e24943cd9c46c79,60d336825533aacd73bb3131,RETURNED,Not Applicable,2024-05-15T16:35:13.590000Z,,,,,,399,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
