batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,screener-prolific,screener-current-job,screener-programming-experience-obj,screener-language-proficiency-obj,screener-programming-experience-sub,screener-language-proficiency-sub,perceived-difficulty,attitudes-fear,attitudes-acceptance,codeExecutionSummary,cheat,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim,leaveFullScreenTimes,Invalid
1,formal_easy_ransom_notes_with,60cf3ea49731e4fed5ce742e,easy_ransom_notes,0.1,1,0.1,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,4,2,3,5.666666667,6.5,1,,0.944444444,0.944444444,1,1,,
1,formal_easy_ransom_notes_with,60ddcd80bbeb3c7f8958f6bf,easy_ransom_notes,0.1,0.1,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,6,3,3,4,4.333333333,5.5,0,,0.782608696,1,,,,yes
1,formal_easy_ransom_notes_with,6452a0c8687cf626aa4dc721,easy_ransom_notes,0,0.1,0,0,Yes,Student specializing in IT-related fields.,5,5,3,4,3,3.333333333,7.5,0,,0.285714286,0.111111111,0,0,,yes
1,formal_easy_ransom_notes_with,657b106d15f391f12c30ee8d,easy_ransom_notes,0,1,0,0,Yes,Student specializing in IT-related fields.,1,1,2,2,3,2.666666667,6.5,1,,0.944444444,0.944444444,1,1,,
1,formal_easy_ransom_notes_with,659ecd99cbaea58e46b35186,easy_ransom_notes,1,1,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",9,5,4,3,3,4,7.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,5e91128ddf10df4440f6243f,easy_ransom_notes,0,1,0.1,0,Yes,Others.,4,3,3,3,4,2,7,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,60ce3a64dc89ad902dcd3e02,easy_ransom_notes,0.1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,2,3,4,3,3.333333333,7.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,60db8f99cfcb1b050dbc66b5,easy_ransom_notes,1,1,0.1,1,Yes,Student specializing in IT-related fields.,3,0,3,2,3,2.333333333,8.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,610425405cd96682f2d3ff07,easy_ransom_notes,1,1,0.1,0,Yes,Student specializing in IT-related fields.,3,2,2,2,5,6,5.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,6159e83b6407a6d5345d3b99,easy_ransom_notes,1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,1,2,3,3,4,9,1,,0.263157895,0.277777778,0,0,,
2,formal_easy_ransom_notes_with,6529416fca661cf7ee143821,easy_ransom_notes,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,3,5,8.666666667,6.5,1,,0.944444444,0.944444444,1,1,,
2,formal_easy_ransom_notes_with,65523123662559399b1aa48a,easy_ransom_notes,0,1,0,0,Yes,Student specializing in IT-related fields.,1,1,2,3,4,3.333333333,8.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,65b011d3c75e0c8536526b93,easy_ransom_notes,0,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,5,5,2,5.333333333,6.5,1,,0.5,0.5,0.857142857,1,,
2,formal_easy_ransom_notes_with,6609688e8e4fe9698ab13a66,easy_ransom_notes,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,10+,4,3,3,4.333333333,5,1,,0.3,0.166666667,0,0,,
1,formal_easy_ransom_notes_without,5bf5893f3a426e00019e42bc,easy_ransom_notes,0.1,0,0,0,Yes,Others.,0,1,1,2,5,2.666666667,5,0,,1,1,1,1,,
1,formal_easy_ransom_notes_without,60ec51c51a3158a50ded8a3e,easy_ransom_notes,1,1,0,0,Yes,Student specializing in IT-related fields.,2,1,4,3,1,4.333333333,4.5,1,,0.388888889,0.388888889,0,0,,
