Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
66179f701abe7d086651c108,60cf3ea49731e4fed5ce742e,APPROVED,Not Applicable,2024-04-11T08:34:39.321000Z,2024-04-11T08:51:01.421000Z,2024-05-02T16:11:59.682000Z,2024-04-11T08:51:03.861822Z,983.0,C8MRP57T,339,Yes,"PHP, Matlab, HTML, Javascript, CSS",31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
6617a2dd8105a4f3cb4617cf,657b106d15f391f12c30ee8d,APPROVED,Not Applicable,2024-04-11T08:44:13.386000Z,2024-04-11T09:07:32.952000Z,2024-05-02T16:12:00.533000Z,2024-04-11T09:07:43.018492Z,1400.0,C8MRP57T,54,Yes,"C#, HTML, Python, CSS, SQL, Javascript",26,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time,
6617a2e8ba14cf2daf9b9cd4,659ecd99cbaea58e46b35186,APPROVED,Not Applicable,2024-04-11T08:44:28.657000Z,2024-04-11T09:03:41.745000Z,2024-05-02T16:12:00.945000Z,2024-04-11T09:03:55.249561Z,1154.0,C8MRP57T,38,Yes,"C#, HTML, Python, SQL, Javascript, CSS, Java",37,Female,White,Switzerland,Switzerland,Switzerland,German,No,Full-Time,
6617a32c50ff3a132f8492db,6452a0c8687cf626aa4dc721,APPROVED,Not Applicable,2024-04-11T08:47:41.370000Z,2024-04-11T09:04:56.833000Z,2024-05-02T16:12:01.552000Z,2024-04-11T09:05:13.906806Z,1036.0,C8MRP57T,117,Yes,"CSS, Javascript, HTML, Python, SQL, TypeScript",35,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,
6617af505d29149f8a9cb0be,60ddcd80bbeb3c7f8958f6bf,APPROVED,Not Applicable,2024-04-11T09:38:12.718000Z,2024-04-11T09:55:44.861000Z,2024-05-02T16:12:02.059000Z,2024-04-11T09:56:27.521618Z,1053.0,C8MRP57T,591,Yes,"HTML, Javascript, Java, TypeScript, C and C++",38,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time,
66179ec7d4841a81db920dea,611ce4bf22efe3cc1e043bd8,RETURNED,Not Applicable,2024-04-11T08:26:51.170000Z,,,,,,54,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66179fdd4308d89055837ecf,611f5fca1c852d6d56e5bf8d,TIMED-OUT,Not Applicable,2024-04-11T08:31:25.858000Z,,,,3136370.0,,517,Yes,"C#, Javascript, HTML, CSS",33,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,English
66179ff93368b477ece6b381,58cc334a334d5b0001d6493b,RETURNED,Not Applicable,2024-04-11T08:31:59.330000Z,,,,,,134,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6617a04f5b794bb6a799a41e,65ddfa443b7953bac674a214,RETURNED,Not Applicable,2024-04-11T08:33:27.880000Z,,,,,,50,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6617a200f2c6faa508aae623,5cab6f4962c2a80001ca3efd,RETURNED,Not Applicable,2024-04-11T08:40:46.162000Z,,,,,,1215,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6617a2713a1245d7c79b9ce0,65995d4d7acaaa028d903816,RETURNED,Not Applicable,2024-04-11T08:42:25.134000Z,,,,,,78,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6617a2dd82c6686d30b40406,615b26a3c79a404be3c4c35e,RETURNED,Not Applicable,2024-04-11T08:54:13.823000Z,,,,,,195,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6617ada6b26d26c1ae34c4dc,5d5c7accc6963c0017f41ea8,RETURNED,Not Applicable,2024-04-11T09:30:14.153000Z,,,,,,74,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
