Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6644c75db15bf0af045ec5f7,5b7afc6cdb14e70001a1fcf9,REJECTED,Not Applicable,2024-05-15T14:32:26.668000Z,2024-05-15T14:56:37.708000Z,2024-05-16T01:51:58.028000Z,2024-05-16T01:54:51.235091Z,1452.0,C8MRP57T,40,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c770e3d3a6070c3da354,5aeaba90ba2926000102f62c,APPROVED,Not Applicable,2024-05-15T14:32:33.009000Z,2024-05-15T14:55:15Z,2024-05-16T02:00:43.486000Z,2024-05-15T14:55:15.512731Z,1362.0,C8MRP57T,100,Yes,"Javascript, Python",English,34,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
6644c7837eee21f16b68a457,6511e38ac9a0d7cb63342f27,APPROVED,Not Applicable,2024-05-15T14:32:35.340000Z,2024-05-15T14:55:39.829000Z,2024-05-16T02:00:43.912000Z,2024-05-15T14:55:41.238582Z,1385.0,C8MRP57T,112,Yes,"Python, R, Javascript, SQL","English, French",20,Female,Mixed,France,France,France,French,DATA_EXPIRED,DATA_EXPIRED
6644c7867eee21f16b68a459,5f4560c565e28d13e5dd5d56,RETURNED,Not Applicable,2024-05-15T14:33:17.633000Z,,,2024-05-16T01:54:51.237380Z,,,401,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c792866920f151717587,57ca4b09993b08000192297b,APPROVED,Not Applicable,2024-05-15T14:32:50.111000Z,2024-05-15T15:30:07.945000Z,2024-05-16T02:00:19.304000Z,2024-05-15T15:30:13.295014Z,3438.0,C8MRP57T,746,Yes,"C and C++, Java, Javascript, HTML, Python, SQL",English,30,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
6644c79a2c2c7c6686f51fe5,646cbfe0fd851deb22173b4c,RETURNED,Not Applicable,2024-05-15T14:39:39.504000Z,,,2024-05-16T01:54:51.238513Z,,,229,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c7b72771f375e4d65d71,64a17681cb7463c8b8764866,REJECTED,Not Applicable,2024-05-15T14:35:08.540000Z,2024-05-15T14:42:40.965000Z,2024-05-16T01:54:45.364000Z,2024-05-16T01:54:51.242569Z,453.0,C8MRP57T,101,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644c7cf6ab51eb9f565913b,65ba822477de264745598704,APPROVED,Not Applicable,2024-05-15T14:34:11.756000Z,2024-05-15T14:57:54.367000Z,2024-05-16T02:00:44.185000Z,2024-05-15T14:57:54.926291Z,1423.0,C8MRP57T,75,Yes,"C#, C and C++, Java, Javascript, HTML, PHP, Python, SQL","English, Hungarian",48,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6644c82b6a276bcca05ec61c,657eba550381878917c71e4b,APPROVED,Not Applicable,2024-05-15T14:35:30.669000Z,2024-05-15T14:50:14.013000Z,2024-05-16T02:00:44.465000Z,2024-05-15T14:50:14.591057Z,884.0,C8MRP57T,83,Yes,"Java, Javascript, HTML",English,35,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6644cc6b99dc048b3e0c8a20,61653785ff3b160656b83f60,RETURNED,Not Applicable,2024-05-15T14:53:41.537000Z,,,2024-05-16T01:54:51.242230Z,,,511,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644cd1bea9e55213802751b,61034f24da19cc56177b8b59,RETURNED,Not Applicable,2024-05-15T14:56:34.372000Z,,,2024-05-16T01:54:51.245466Z,,,515,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6644d5128491af77344495e3,65c072fe454cef4b9b1ab25f,APPROVED,Not Applicable,2024-05-15T15:30:42.809000Z,2024-05-15T15:36:59.453000Z,2024-05-16T02:00:44.750000Z,2024-05-15T15:37:04.633468Z,377.0,C8MRP57T,276,Yes,"C and C++, CSS, Java, Javascript, HTML, Python, TypeScript",English,23,Male,Asian,Canada,Canada,Canada,English,No,Part-Time
6644d68393cb822d06a0f940,5fda95fd9df7fa2b164bed61,APPROVED,Not Applicable,2024-05-15T15:36:46.494000Z,2024-05-15T15:44:22.737000Z,2024-05-16T02:00:45.165000Z,2024-05-15T15:44:23.407363Z,457.0,C8MRP57T,481,Yes,"C and C++, CSS, Java, Javascript, HTML, PHP, Python, SQL","English, Latvian",21,Male,White,Estonia,Latvia,Latvia,Latvian,No,Full-Time
