Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66386ed74d698cb29a72b173,615e09b45124daba0eeb3e6b,APPROVED,Not Applicable,2024-05-06T05:47:03.819000Z,2024-05-06T06:04:36.815000Z,2024-05-14T09:25:16.578000Z,2024-05-06T06:05:49.955240Z,1053.0,C8MRP57T,556,Yes,"C#, CSS, Java, Javascript, HTML, R, PHP, Python, SQL, TypeScript",English,35,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
66386fd14133feb13acff522,60a6bc4f4cb533e7e0867aab,APPROVED,Not Applicable,2024-05-06T05:51:22.360000Z,2024-05-06T06:13:08.692000Z,2024-05-14T09:25:16.912000Z,2024-05-06T06:15:52.679677Z,1307.0,C8MRP57T,150,Yes,"C#, C and C++, CSS, Java, Javascript, HTML",English,26,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
66386fdfc16c2393d7ed320b,66338ecbf38c676d9d783a6f,APPROVED,Not Applicable,2024-05-06T05:52:22.727000Z,2024-05-06T06:07:01.505000Z,2024-05-14T09:25:17.106000Z,2024-05-06T06:07:02.063406Z,879.0,C8MRP57T,3,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, PHP, SQL",English,32,Male,White,Namibia,New Zealand,New Zealand,English,No,Unemployed (and job seeking)
6638711bbea0d8e17e721eae,5f75cb3479b194268b1f46d2,APPROVED,Not Applicable,2024-05-06T05:56:51.466000Z,2024-05-06T06:11:17.007000Z,2024-05-14T09:25:17.299000Z,2024-05-06T06:11:17.510055Z,866.0,C8MRP57T,201,Yes,Javascript,"Hebrew, English, Spanish",31,Female,White,Israel,Israel,Israel,Hebrew,Yes,Part-Time
663c20372eca0a6ba0ece730,60e567bba0aef0be5a115d97,APPROVED,Not Applicable,2024-05-09T01:00:44.309000Z,2024-05-09T01:16:52.038000Z,2024-05-14T09:25:17.494000Z,2024-05-09T01:16:52.647271Z,968.0,C8MRP57T,285,Yes,"C and C++, CSS, HTML, Javascript, PHP, Python, SQL",English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c20499042d15ba65d66a9,654d5ff18c8cf0674dfdd737,APPROVED,Not Applicable,2024-05-09T01:01:24.055000Z,2024-05-09T01:17:49.370000Z,2024-05-14T09:25:17.732000Z,2024-05-09T01:17:50.705185Z,986.0,C8MRP57T,169,Yes,"CSS, Java, Javascript, HTML, Python, SQL","Bengali, English",31,Male,Asian,Bangladesh,Canada,Bangladesh,Bengali,Yes,DATA_EXPIRED
663c23177abc966ef7ec65ba,655f635e8a71c33118eb47e7,APPROVED,Not Applicable,2024-05-09T01:16:01.200000Z,2024-05-09T01:33:17.375000Z,2024-05-14T09:25:17.925000Z,2024-05-09T01:34:14.014337Z,1037.0,C8MRP57T,57,Yes,"Javascript, HTML, Python, TypeScript",English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
663c2365f7186f1e64d42cf3,614d519458658326e237eaa7,APPROVED,Not Applicable,2024-05-09T01:14:24.555000Z,2024-05-09T01:21:06.258000Z,2024-05-14T09:25:18.109000Z,2024-05-09T01:23:06.266507Z,402.0,C8MRP57T,130,Yes,"Javascript, HTML","English, Other",23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
663c2381018dcb1553c22e15,655788501826eeea1b788f8b,APPROVED,Not Applicable,2024-05-09T01:14:48.460000Z,2024-05-09T01:30:49.936000Z,2024-05-14T09:25:18.304000Z,2024-05-09T01:31:51.660643Z,962.0,C8MRP57T,158,Yes,"Java, C and C++, Javascript, HTML, Python",English,21,Male,Asian,Nepal,Canada,Nepal,English,Yes,Part-Time
66430dbbea33873f910eb891,6129091a4488538bc7654940,APPROVED,Not Applicable,2024-05-14T07:07:39.214000Z,2024-05-14T07:13:13.275000Z,2024-05-14T09:25:18.482000Z,2024-05-14T07:13:13.823452Z,335.0,C8MRP57T,95,Yes,"C#, CSS, C and C++, Javascript, HTML, Python, SQL",English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
