Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
661a8d2b31b72c7020935941,64eb650fbf222d6e2ec9cff9,APPROVED,Not Applicable,2024-04-13T13:48:27.006000Z,2024-04-13T14:04:10.906000Z,2024-05-04T00:00:51.849000Z,2024-04-13T14:04:26.249222Z,944.0,C8MRP57T,106,Yes,"CSS, Java, Javascript, HTML, Kotlin, Python, TypeScript",23,Male,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Full-Time,
661a8d557a2cbdcae15d74ec,61712d83af60f4d0702f606f,APPROVED,Not Applicable,2024-04-13T13:49:09.513000Z,2024-04-13T14:04:46.189000Z,2024-05-04T00:00:52.138000Z,2024-04-13T14:04:54.926114Z,937.0,C8MRP57T,363,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Python, R, SQL",23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
661a901fbcd4eb92e59a2796,610ea9a7e88bfe6cab826680,APPROVED,Not Applicable,2024-04-13T14:01:03.226000Z,2024-04-13T14:14:36.851000Z,2024-05-04T00:00:52.411000Z,2024-04-13T14:14:37.464745Z,814.0,C8MRP57T,950,Yes,"Javascript, HTML, CSS",29,Male,Other,United Kingdom,United Kingdom,Italy,English,DATA_EXPIRED,DATA_EXPIRED,
661ab271bc06539b04909549,5c5dcac26ad0f00001cc1501,APPROVED,Not Applicable,2024-04-13T16:27:29.409000Z,2024-04-13T16:38:11.806000Z,2024-05-04T00:00:52.655000Z,2024-04-13T16:41:31.345558Z,643.0,C8MRP57T,524,Yes,"PHP, HTML, Javascript",25,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),
661ab421c64d42128404049b,5c5b31c415f6c30001de2df5,APPROVED,Not Applicable,2024-04-13T16:34:41.531000Z,2024-04-13T16:51:41.986000Z,2024-05-04T00:00:52.919000Z,2024-04-13T16:54:18.950215Z,1021.0,C8MRP57T,759,Yes,"C#, C and C++, Javascript, HTML, SQL, CSS",24,Male,Mixed,United Kingdom,Portugal,United Kingdom,English,No,Unemployed (and job seeking),
661b83a58194caddad46aade,6168bf1eabf324700728494b,APPROVED,Not Applicable,2024-04-14T07:21:02.711000Z,2024-04-14T07:41:16.410000Z,2024-05-05T00:00:29.725000Z,2024-04-14T07:41:17.438468Z,1214.0,C8MRP57T,52,Yes,Javascript,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
661a8d06c2425d3764ed4b75,65e27a9648a64c0deae3d49d,REJECTED,Not Applicable,2024-04-13T13:51:02.955000Z,2024-04-13T13:51:30.649000Z,2024-04-13T16:24:25.221000Z,2024-04-13T13:51:42.247000Z,28.0,65e27a9648a64c0deae3d49d,19,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8d3d7094544b3aa9ff5a,6127ae90d4e84d4658a04b7d,RETURNED,Not Applicable,2024-04-13T13:49:53.278000Z,,,,,,307,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8d6b3817c98e0952516b,5ec25b2bcad3b8022c14846d,RETURNED,Not Applicable,2024-04-13T13:49:35.230000Z,,,,,,573,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661a8ef4bf2b20fba8a7aa16,64a04af937cdd2f3dea6879f,RETURNED,Not Applicable,2024-04-13T14:06:04.611000Z,,,,,,292,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
