Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
663872f96df648c2b3043a5f,6529416fca661cf7ee143821,APPROVED,Not Applicable,2024-05-06T06:04:45.874000Z,2024-05-06T06:20:43.103000Z,2024-05-14T10:09:03.254000Z,2024-05-06T06:20:43.942096Z,958.0,C8MRP57T,89,Yes,"C#, Java, C and C++, CSS, HTML, Javascript, Python, Matlab, PHP, SQL","Afrikaans, English",29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
663873f6c16c2393d7ed3291,6011c91e496f2f16d61402e7,APPROVED,Not Applicable,2024-05-06T06:08:59.765000Z,2024-05-06T06:54:20.938000Z,2024-05-14T10:09:03.573000Z,2024-05-06T06:54:22.232375Z,2722.0,C8MRP57T,334,Yes,"C and C++, C#, Java, CSS, Javascript, HTML, Matlab, Python, R, SQL, TypeScript",English,23,Male,White,South Africa,South Africa,South Africa,English,Yes,Full-Time
6638745815d9d6cbc03f668a,662f826869bc43d3dbbc8d9f,APPROVED,Not Applicable,2024-05-06T06:10:35.385000Z,2024-05-06T06:25:41.093000Z,2024-05-14T10:09:03.764000Z,2024-05-06T06:27:06.760579Z,906.0,C8MRP57T,6,Yes,"C#, C and C++, CSS, Javascript, HTML, PHP, Python, SQL","Arabic, English, German",19,Male,White,Syrian Arab Republic,Austria,Syrian Arab Republic,Arabic,No,Part-Time
6638756ba42b581cec043522,615b38fbee37c31346d21b1c,APPROVED,Not Applicable,2024-05-06T06:16:39.990000Z,2024-05-06T06:41:01.558000Z,2024-05-14T10:09:03.976000Z,2024-05-06T06:41:02.143627Z,1462.0,C8MRP57T,410,Yes,"HTML, CSS, Javascript, SQL",English,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6638782c4037b3cf512ce0d9,66171378a0d58cc04011f002,APPROVED,Not Applicable,2024-05-06T06:26:52.807000Z,2024-05-06T06:42:33.348000Z,2024-05-14T10:09:04.183000Z,2024-05-06T06:47:10.795122Z,941.0,C8MRP57T,23,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, Python, SQL, TypeScript","Chinese, English, Mandarin",33,Male,Asian,China,New Zealand,China,Chinese,No,Unemployed (and job seeking)
663c1feb6538e1d40fad3598,65c783e5704051956c8ff924,APPROVED,Not Applicable,2024-05-09T00:59:36.879000Z,2024-05-09T01:14:08.983000Z,2024-05-14T10:09:04.380000Z,2024-05-09T01:14:09.540779Z,873.0,C8MRP57T,53,Yes,"C#, C and C++, HTML, Javascript, Java, Matlab, Python",English,22,Male,Asian,China,Canada,China,Mandarin,Yes,Part-Time
663c1ff0386b5fcbf8e1c334,66303b3d77cdc9c216ed8a9d,APPROVED,Not Applicable,2024-05-09T00:59:31.061000Z,2024-05-09T01:16:36.610000Z,2024-05-14T10:09:04.584000Z,2024-05-09T01:16:37.375997Z,1026.0,C8MRP57T,6,Yes,"C#, C and C++, CSS, Go, Java, Javascript, HTML, Kotlin, PHP, Python, SQL, Ruby, TypeScript, Swift","Italian, English",25,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
663c202dfde505eeeb5415cc,657dc1eca553ae8ee187d53e,APPROVED,Not Applicable,2024-05-09T01:01:01.688000Z,2024-05-09T01:13:17.423000Z,2024-05-14T10:09:04.813000Z,2024-05-09T01:13:17.869975Z,736.0,C8MRP57T,241,Yes,"Javascript, Java, C and C++, CSS, HTML, PHP, Python, SQL",English,23,Female,Asian,Nepal,Canada,Nepal,Nepali,No,Full-Time
66430d0968e5fab9c2ba9153,6156b68cc77b48d6693b361c,APPROVED,Not Applicable,2024-05-14T07:04:51.028000Z,2024-05-14T07:26:31.771000Z,2024-05-14T10:09:05.013000Z,2024-05-14T07:26:32.621144Z,1301.0,C8MRP57T,590,Yes,"CSS, Javascript, HTML, TypeScript, SQL, C and C++","Romanian, English, German",22,Male,White,Romania,Austria,Romania,Romanian,Yes,Part-Time
66433abc3d73d359e7fc6b0c,612681578c97326c99eb14d3,APPROVED,Not Applicable,2024-05-14T10:20:00.294000Z,2024-05-14T10:28:15.075000Z,2024-05-14T17:13:12.949000Z,2024-05-14T10:28:17.617208Z,495.0,C8MRP57T,138,Yes,"C#, CSS, Java, Javascript, HTML, Kotlin, Python, SQL","English, Finnish, Estonian",23,Female,White,Estonia,Finland,Estonia,Estonian,Yes,Full-Time
