Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language
661b803f1814c215590418ef,61265fa763bacaa9ef2ab383,APPROVED,Not Applicable,2024-04-14T07:05:35.194000Z,2024-04-14T07:19:50.510000Z,2024-05-05T00:00:35.513000Z,2024-04-14T07:19:51.211628Z,856.0,C8MRP57T,264,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, PHP, Matlab, Python, R, SQL, Swift, TypeScript",21,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking),
661b8211e1231a1be944ca74,64699c39810132db3b4250b1,APPROVED,Not Applicable,2024-04-14T07:13:30.589000Z,2024-04-14T07:38:56.515000Z,2024-05-05T00:00:36.001000Z,2024-04-14T07:38:57.045591Z,1526.0,C8MRP57T,269,Yes,"Javascript, Java",32,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
661b86269962e01ae7f89028,65a2a4643cc27e9702199c43,APPROVED,Not Applicable,2024-04-14T07:30:46.821000Z,2024-04-14T07:43:05.970000Z,2024-05-05T00:00:36.533000Z,2024-04-14T07:43:29.940561Z,740.0,C8MRP57T,29,Yes,"Java, Javascript, HTML, C#, Python, SQL",25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
661b86877a2cbdcae15da36b,5fdcad62eed16d2504b27f5a,APPROVED,Not Applicable,2024-04-14T07:32:23.102000Z,2024-04-14T07:55:17.828000Z,2024-05-05T00:00:37.046000Z,2024-04-14T07:55:52.750469Z,1375.0,C8MRP57T,274,Yes,"CSS, Javascript, Java, HTML, PHP, Python, SQL",20,Female,Black,Congo the Democratic Republic of the,South Africa,Congo the Democratic Republic of the,English,Yes,Full-Time,
6637ecb857f5151fafe3f46b,64a6f9c781f425259aba5e4a,APPROVED,Not Applicable,2024-05-05T20:31:56.308000Z,2024-05-05T20:38:55.129000Z,2024-05-14T09:08:19.134000Z,2024-05-05T20:38:56.199596Z,419.0,C8MRP57T,33,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, Matlab, Python, SQL",20,Male,White,Canada,Canada,Canada,English,Yes,Full-Time,English
661b7e089cc4ce5544ab1f5f,610b747563ed83265433ac09,RETURNED,Not Applicable,2024-04-14T06:56:08.021000Z,,,,,,368,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661b7efc7a2cbdcae15da299,614018867826df1c3ce4323a,RETURNED,Not Applicable,2024-04-14T07:00:12.296000Z,,,,,,171,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661b7fd8bf2b20fba8a7d7d6,61154503002b93af22a9353d,RETURNED,Not Applicable,2024-04-14T07:03:52.506000Z,,,,,,406,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661b8005a9dae3149cc729d3,63d04d54715f377d4ee643d8,RETURNED,Not Applicable,2024-04-14T07:04:42.009000Z,,,,,,642,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661b80b7e1f6f05edc4d55db,5db9a74d4a8687000b9ef833,RETURNED,Not Applicable,2024-04-14T07:11:21.164000Z,2024-04-14T07:34:43.413000Z,,2024-04-14T07:35:10.565000Z,,C8MRP57T,329,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
