Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6638713c5caa9582dcdd32a4,65b9019d4b66bcd86a2b6ec5,APPROVED,Not Applicable,2024-05-06T05:57:33.304000Z,2024-05-06T06:20:02.348000Z,2024-05-14T10:10:18.812000Z,2024-05-06T08:01:23.345138Z,1350.0,C8MRP57T,25,Yes,"CSS, Java, Javascript, HTML, PHP, Python, SQL","Hungarian, English",26,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
663875224133feb13acff5c8,614d8fbb82f1d17aa02851fa,APPROVED,Not Applicable,2024-05-06T06:16:43.374000Z,2024-05-06T06:29:37.805000Z,2024-05-14T10:10:19.229000Z,2024-05-06T06:29:38.331104Z,775.0,C8MRP57T,1,Yes,Javascript,"English, Other",28,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
66387537a42b581cec043512,610ba8fced24e6ce1c89c68c,APPROVED,Not Applicable,2024-05-06T06:23:53.196000Z,2024-05-06T06:38:53.984000Z,2024-05-14T10:10:19.634000Z,2024-05-06T06:38:54.510371Z,901.0,C8MRP57T,334,Yes,"C#, C and C++, Javascript, HTML, CSS, SQL, TypeScript",English,31,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
663879813a00c0f51db29424,65c420c15931487d511e71e4,APPROVED,Not Applicable,2024-05-06T06:32:53.439000Z,2024-05-06T06:51:10.788000Z,2024-05-14T10:10:20.108000Z,2024-05-06T06:51:12.507172Z,1098.0,C8MRP57T,85,Yes,"C#, C and C++, CSS, Java, Javascript, HTML, SQL, TypeScript",English,33,Male,Other,Australia,Australia,Australia,English,No,Full-Time
66387d3093f10c69d7b62115,6094ce8d0764c24f352d1fe5,APPROVED,Not Applicable,2024-05-06T06:48:16.361000Z,2024-05-06T07:11:53.542000Z,2024-05-14T10:10:20.504000Z,2024-05-06T07:11:54.925978Z,1418.0,C8MRP57T,95,Yes,"CSS, Javascript, Java, HTML, Python",English,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
663c20068ba8335795083a6d,5f1f5fe94154031594d4e345,APPROVED,Not Applicable,2024-05-09T01:00:10.202000Z,2024-05-09T01:20:12.181000Z,2024-05-14T10:10:20.898000Z,2024-05-09T01:21:38.011178Z,1202.0,C8MRP57T,579,Yes,"Java, Javascript, HTML, SQL, C and C++, CSS","English, Hungarian",37,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
663c2008f7186f1e64d42bea,64401b8dc61551f15637634b,APPROVED,Not Applicable,2024-05-09T00:59:52.108000Z,2024-05-09T01:16:11.226000Z,2024-05-14T10:10:21.288000Z,2024-05-09T01:16:12.012267Z,980.0,C8MRP57T,745,Yes,"Java, Kotlin, HTML, Javascript, Python, SQL, Swift, TypeScript","English, Arabic",31,Male,Other,Egypt,United Kingdom,Egypt,Arabic,No,Due to start a new job within the next month
663c216ecf8d5c34e93b1e19,6525e82c59ec5a1ce71b9f27,APPROVED,Not Applicable,2024-05-09T01:06:06.075000Z,2024-05-09T01:24:25.663000Z,2024-05-14T10:10:21.732000Z,2024-05-09T01:24:39.727979Z,1100.0,C8MRP57T,259,Yes,"C#, CSS, Java, Javascript, HTML, PHP, Python, SQL, TypeScript","Spanish, English",37,Male,White,Colombia,Canada,Canada,English,Yes,Full-Time
663c2241f6b5b24e7f41250e,65dcb8de27f5cb588f25952f,APPROVED,Not Applicable,2024-05-09T01:09:37.405000Z,2024-05-09T01:32:51.266000Z,2024-05-14T10:10:22.164000Z,2024-05-09T01:34:05.225987Z,1394.0,C8MRP57T,227,Yes,"C#, Javascript, Python, SQL",English,48,Male,White,United States,United States,United States,English,No,Full-Time
663c29a08a2df774396dd86d,659973d85dffc3c84fb51ec4,APPROVED,Not Applicable,2024-05-09T01:40:48.842000Z,2024-05-09T02:32:26.582000Z,2024-05-14T10:10:22.609000Z,2024-05-09T02:33:07.272658Z,3098.0,NOCODE,186,Yes,"C#, C and C++, Java, CSS, Javascript, HTML, PHP, Python, SQL","English, German, Polish",40,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
